order_id,date,region,category,product,segment,units,revenue,cost
ORD-2049,2024-06-13,North,Office,Gel Pens,Consumer,5,66.74,38.32
ORD-2050,2024-06-13,East,Office,Gel Pens,Consumer,1,23.05,15.88
ORD-2051,2024-06-13,North,Furniture,Oak Desk,Corporate,1,262.07,163.79
ORD-2052,2024-06-13,East,Electronics,Aura Laptop,Corporate,3,1248.39,755.58
ORD-2053,2024-06-13,West,Electronics,Nova Monitor,Corporate,3,889.82,529.8
ORD-2054,2024-06-14,North,Apparel,Core Tee,Consumer,3,247.31,159.83
ORD-2055,2024-06-14,South,Furniture,Ergo Chair,Corporate,5,1304.84,775.44
ORD-2056,2024-06-14,Central,Office,Gel Pens,Consumer,2,50.37,28.3
ORD-2057,2024-06-15,North,Office,Notebook Set,Corporate,2,38.1,24.43
ORD-2058,2024-06-15,North,Furniture,Oak Desk,Corporate,1,323.8,226.41
ORD-2059,2024-06-15,Central,Furniture,Oak Desk,Corporate,3,986.92,640.22
ORD-2060,2024-06-16,North,Apparel,Trail Jacket,SMB,1,94.15,55.19
ORD-2061,2024-06-16,West,Electronics,Pulse Earbuds,Consumer,3,1216.94,847.49
ORD-2062,2024-06-17,Central,Furniture,Oak Desk,Corporate,3,837.78,474.6
ORD-2063,2024-06-17,West,Furniture,Ergo Chair,Corporate,3,803.82,471.16
ORD-2064,2024-06-17,East,Electronics,Pulse Earbuds,SMB,4,1609.17,941.52
ORD-2065,2024-06-17,Central,Office,Gel Pens,SMB,1,17.88,11.22
ORD-2066,2024-06-18,East,Apparel,Trail Jacket,Consumer,2,149.84,91.05
ORD-2067,2024-06-18,East,Office,Notebook Set,SMB,5,103.94,57.93
ORD-2068,2024-06-18,West,Electronics,Pulse Earbuds,Consumer,1,271.65,187.23
ORD-2069,2024-06-18,North,Office,Gel Pens,SMB,5,103.78,58.66
ORD-2070,2024-06-18,Central,Furniture,Oak Desk,Consumer,2,542.95,300.11
ORD-2071,2024-06-19,North,Office,Gel Pens,Corporate,5,93.04,53.8
ORD-2072,2024-06-19,South,Furniture,Ergo Chair,Corporate,2,398.83,225.1
ORD-2073,2024-06-19,Central,Office,Notebook Set,SMB,5,91.13,58.54
ORD-2074,2024-06-20,South,Apparel,Core Tee,SMB,1,74.22,48.1
ORD-2075,2024-06-20,North,Furniture,Ergo Chair,SMB,5,948.16,640.73
ORD-2076,2024-06-21,North,Office,Notebook Set,SMB,1,24.53,17.03
ORD-2077,2024-06-21,East,Office,Gel Pens,SMB,1,25.02,15.88
ORD-2078,2024-06-22,West,Electronics,Pulse Earbuds,Corporate,1,513.78,307.92
ORD-2079,2024-06-22,West,Electronics,Nova Monitor,SMB,2,551.03,311.01
ORD-2080,2024-06-23,East,Electronics,Nova Monitor,SMB,1,508.92,316.94
ORD-2081,2024-06-23,South,Furniture,Oak Desk,Consumer,4,1304.58,744.2
ORD-2082,2024-06-23,South,Apparel,Trail Jacket,Corporate,2,115.74,72.07
ORD-2083,2024-06-24,West,Electronics,Pulse Earbuds,Corporate,2,800.41,475.31
ORD-2084,2024-06-24,North,Electronics,Pulse Earbuds,Corporate,1,511.9,313.15
ORD-2085,2024-06-24,West,Furniture,Ergo Chair,SMB,3,585.46,341.11
ORD-2086,2024-06-24,Central,Office,Notebook Set,SMB,2,40.38,22.43
ORD-2087,2024-06-24,Central,Office,Gel Pens,Corporate,3,41.44,25.96
ORD-2088,2024-06-25,South,Electronics,Aura Laptop,Corporate,1,299.02,175.35
ORD-2089,2024-06-25,South,Office,Gel Pens,SMB,5,123.26,72.25
ORD-2090,2024-06-25,Central,Office,Gel Pens,SMB,1,20.21,13.85
ORD-2091,2024-06-25,South,Furniture,Ergo Chair,Corporate,4,782.14,540.65
ORD-2092,2024-06-26,North,Electronics,Aura Laptop,Corporate,1,504.82,319.11
ORD-2093,2024-06-26,West,Office,Gel Pens,SMB,1,14.23,8.2
ORD-2094,2024-06-26,East,Apparel,Trail Jacket,SMB,1,94.57,64.92
ORD-2095,2024-06-26,South,Electronics,Aura Laptop,Consumer,2,669.65,466.93
ORD-2096,2024-06-27,East,Office,Notebook Set,SMB,4,90.16,57.82
ORD-2097,2024-06-27,Central,Furniture,Oak Desk,Consumer,2,612.12,364.03
ORD-2098,2024-06-27,Central,Furniture,Oak Desk,SMB,5,1804.41,1054.33
ORD-2099,2024-06-27,North,Office,Gel Pens,Consumer,3,51.45,33.74
ORD-2100,2024-06-27,West,Furniture,Oak Desk,Corporate,5,1402.38,777.17
ORD-2101,2024-06-28,East,Apparel,Trail Jacket,Corporate,2,169.23,113.23
ORD-2102,2024-06-28,West,Apparel,Core Tee,SMB,4,289.89,174.72
ORD-2103,2024-06-28,Central,Apparel,Trail Jacket,Consumer,5,261.98,182.85
ORD-2104,2024-06-28,North,Furniture,Oak Desk,Consumer,2,686.84,472.62
ORD-2105,2024-06-28,South,Office,Gel Pens,SMB,5,67.15,38.33
ORD-2106,2024-06-29,West,Apparel,Core Tee,SMB,4,329.74,197.44
ORD-2107,2024-06-29,Central,Apparel,Trail Jacket,Corporate,2,164.65,94.14
ORD-2108,2024-06-29,Central,Furniture,Ergo Chair,Consumer,3,643.42,380.56
ORD-2109,2024-06-30,East,Furniture,Ergo Chair,Consumer,1,354.14,222.44
ORD-2110,2024-06-30,North,Apparel,Core Tee,Corporate,3,163.95,96.1
ORD-2111,2024-07-01,North,Apparel,Core Tee,Consumer,2,139.76,82.8
ORD-2112,2024-07-01,East,Office,Notebook Set,Consumer,1,16.09,10.84
ORD-2113,2024-07-01,Central,Apparel,Trail Jacket,Consumer,1,96.05,53.35
ORD-2114,2024-07-01,South,Apparel,Core Tee,SMB,2,135.4,81.5
ORD-2115,2024-07-02,West,Apparel,Trail Jacket,Consumer,3,151.05,98.28
ORD-2116,2024-07-02,Central,Apparel,Trail Jacket,Corporate,1,72.99,44.48
ORD-2117,2024-07-02,Central,Office,Gel Pens,Corporate,3,46.82,31.17
ORD-2118,2024-07-03,North,Office,Gel Pens,SMB,5,98.41,57.9
ORD-2119,2024-07-03,North,Electronics,Aura Laptop,Consumer,3,1580.66,1077.32
ORD-2120,2024-07-04,North,Furniture,Oak Desk,SMB,3,1059.75,678.95
ORD-2121,2024-07-04,Central,Office,Gel Pens,SMB,5,118.81,77.34
ORD-2122,2024-07-04,East,Apparel,Trail Jacket,Corporate,1,83.23,56.17
ORD-2123,2024-07-04,North,Office,Gel Pens,Corporate,2,32.04,22
ORD-2124,2024-07-05,West,Office,Gel Pens,Corporate,5,114.3,68.67
ORD-2125,2024-07-05,North,Apparel,Trail Jacket,SMB,1,83.13,52.77
ORD-2126,2024-07-05,South,Electronics,Nova Monitor,Corporate,5,1411.66,777.31
ORD-2127,2024-07-05,Central,Electronics,Nova Monitor,SMB,3,1492.06,1032.73
ORD-2128,2024-07-06,Central,Apparel,Trail Jacket,Corporate,5,286.11,188.45
ORD-2129,2024-07-06,Central,Furniture,Ergo Chair,Corporate,3,839.1,517.16
ORD-2130,2024-07-06,South,Office,Gel Pens,Consumer,5,88.94,60.6
ORD-2131,2024-07-06,North,Office,Gel Pens,SMB,1,24.64,14.45
ORD-2132,2024-07-07,Central,Electronics,Aura Laptop,Corporate,2,765.73,478.12
ORD-2133,2024-07-07,North,Office,Gel Pens,Corporate,1,24.43,13.71
ORD-2134,2024-07-07,West,Furniture,Oak Desk,Consumer,2,676.34,455.66
ORD-2135,2024-07-08,Central,Office,Notebook Set,SMB,4,71.86,44.45
ORD-2136,2024-07-08,East,Office,Gel Pens,SMB,1,21.97,14.26
ORD-2137,2024-07-08,Central,Electronics,Nova Monitor,SMB,3,1104.5,696.38
ORD-2138,2024-07-08,North,Electronics,Nova Monitor,Corporate,1,376.29,247.87
ORD-2139,2024-07-08,Central,Furniture,Ergo Chair,Corporate,5,1126.02,638.65
ORD-2140,2024-07-09,North,Electronics,Pulse Earbuds,Consumer,2,902.77,527.07
ORD-2141,2024-07-09,West,Apparel,Trail Jacket,Consumer,1,74.15,44.17
ORD-2142,2024-07-09,Central,Furniture,Ergo Chair,SMB,4,1214.86,740.25
ORD-2143,2024-07-09,West,Electronics,Aura Laptop,SMB,1,355.3,215.48
ORD-2144,2024-07-10,Central,Apparel,Core Tee,SMB,1,91.51,51
ORD-2145,2024-07-10,South,Office,Notebook Set,SMB,2,28.73,18.9
ORD-2146,2024-07-10,North,Electronics,Nova Monitor,SMB,5,2087.82,1445.18
ORD-2147,2024-07-10,West,Apparel,Core Tee,SMB,4,201.77,120.68
ORD-2148,2024-07-10,North,Apparel,Core Tee,Corporate,3,149.05,100.06
ORD-2149,2024-07-11,South,Electronics,Aura Laptop,SMB,3,1129.84,758.26
ORD-2150,2024-07-11,North,Apparel,Trail Jacket,Consumer,1,93.89,52.35
ORD-2151,2024-07-12,South,Electronics,Aura Laptop,SMB,5,2326.63,1297.62
ORD-2152,2024-07-12,Central,Furniture,Ergo Chair,SMB,4,1006.73,563.06
ORD-2153,2024-07-12,South,Apparel,Trail Jacket,Consumer,2,143.75,79.88
ORD-2154,2024-07-12,South,Office,Notebook Set,SMB,3,73.24,48.55
ORD-2155,2024-07-13,West,Furniture,Oak Desk,Consumer,3,713.14,479.05
ORD-2156,2024-07-13,South,Furniture,Oak Desk,Consumer,5,1314.53,843.37
ORD-2157,2024-07-13,West,Office,Notebook Set,Corporate,2,33.74,18.99
ORD-2158,2024-07-13,North,Electronics,Pulse Earbuds,SMB,4,1473.33,980.82
ORD-2159,2024-07-13,Central,Furniture,Ergo Chair,Consumer,5,978.37,559.87
ORD-2160,2024-07-14,Central,Electronics,Nova Monitor,SMB,5,1611.65,887.08
ORD-2161,2024-07-14,Central,Electronics,Pulse Earbuds,Corporate,2,676.15,420.86
ORD-2162,2024-07-14,West,Office,Gel Pens,SMB,2,43.26,24.18
ORD-2163,2024-07-15,South,Apparel,Core Tee,Consumer,4,368.52,253.53
ORD-2164,2024-07-15,East,Electronics,Pulse Earbuds,Corporate,5,1405.79,954.08
ORD-2165,2024-07-16,North,Electronics,Pulse Earbuds,SMB,2,670.06,412.86
ORD-2166,2024-07-16,Central,Furniture,Oak Desk,SMB,5,1528.07,920.62
ORD-2167,2024-07-16,North,Furniture,Oak Desk,SMB,3,919.14,541.19
ORD-2168,2024-07-17,West,Apparel,Trail Jacket,SMB,5,421.01,276.72
ORD-2169,2024-07-17,North,Office,Gel Pens,Consumer,3,57.11,39.44
ORD-2170,2024-07-18,Central,Electronics,Pulse Earbuds,Corporate,2,773.51,492
ORD-2171,2024-07-18,South,Apparel,Core Tee,Consumer,3,161.48,102.57
ORD-2172,2024-07-18,South,Electronics,Pulse Earbuds,SMB,1,457.58,283.53
ORD-2173,2024-07-18,East,Furniture,Ergo Chair,SMB,1,300.11,189.99
ORD-2174,2024-07-18,West,Furniture,Ergo Chair,SMB,5,1052.97,616.35
ORD-2175,2024-07-19,Central,Furniture,Oak Desk,SMB,3,1027.91,662.01
ORD-2176,2024-07-19,West,Office,Notebook Set,SMB,4,69.84,48.35
ORD-2177,2024-07-19,East,Electronics,Nova Monitor,SMB,5,1957.9,1158.54
ORD-2178,2024-07-20,South,Furniture,Oak Desk,Corporate,2,683.89,426.65
ORD-2179,2024-07-20,North,Electronics,Pulse Earbuds,Corporate,5,2654.92,1685.92
ORD-2180,2024-07-20,South,Electronics,Pulse Earbuds,Consumer,2,940.82,543.36
ORD-2181,2024-07-20,Central,Office,Gel Pens,SMB,2,25.32,14.06
ORD-2182,2024-07-20,West,Electronics,Nova Monitor,SMB,2,655.09,406.48
ORD-2183,2024-07-21,North,Electronics,Pulse Earbuds,Corporate,4,1841.52,1015.72
ORD-2184,2024-07-21,West,Apparel,Core Tee,Consumer,1,81.45,52.72
ORD-2185,2024-07-21,North,Apparel,Core Tee,Corporate,2,129.16,86.83
ORD-2186,2024-07-21,North,Furniture,Ergo Chair,SMB,1,182.66,100.91
ORD-2187,2024-07-22,South,Electronics,Pulse Earbuds,Corporate,3,912.22,503.16
ORD-2188,2024-07-22,West,Apparel,Core Tee,Consumer,4,292.13,177.6
ORD-2189,2024-07-22,North,Electronics,Nova Monitor,Corporate,2,943.16,571.65
ORD-2190,2024-07-22,West,Electronics,Pulse Earbuds,Corporate,1,317.75,200
ORD-2191,2024-07-22,South,Office,Notebook Set,Consumer,3,41,28.41
ORD-2192,2024-07-23,North,Office,Notebook Set,Consumer,2,32.22,18.97
ORD-2193,2024-07-23,South,Furniture,Oak Desk,SMB,4,1293.02,806.93
ORD-2194,2024-07-23,East,Office,Notebook Set,Consumer,4,78.23,48.89
ORD-2195,2024-07-24,North,Electronics,Nova Monitor,Corporate,3,994.44,560.88
ORD-2196,2024-07-24,North,Electronics,Aura Laptop,SMB,2,594.19,329.34
ORD-2197,2024-07-24,South,Apparel,Core Tee,Corporate,3,283.31,161.92
ORD-2198,2024-07-25,East,Furniture,Ergo Chair,SMB,3,576.24,362.64
ORD-2199,2024-07-25,Central,Apparel,Trail Jacket,SMB,1,49.5,33.2
ORD-2200,2024-07-26,South,Electronics,Pulse Earbuds,Consumer,4,1176.61,808.4
ORD-2201,2024-07-26,South,Office,Gel Pens,SMB,5,88.59,50.82
ORD-2202,2024-07-26,West,Electronics,Pulse Earbuds,Consumer,2,768.85,521.83
ORD-2203,2024-07-26,East,Furniture,Oak Desk,Consumer,2,596.13,378.54
ORD-2204,2024-07-26,Central,Furniture,Ergo Chair,Consumer,2,472,281.46
ORD-2205,2024-07-27,West,Electronics,Nova Monitor,Corporate,5,2301.5,1368.33
ORD-2206,2024-07-27,North,Electronics,Pulse Earbuds,Corporate,4,1212.66,740.54
ORD-2207,2024-07-27,West,Office,Gel Pens,SMB,1,13.09,9.09
ORD-2208,2024-07-28,North,Apparel,Core Tee,Corporate,4,214.04,146.58
ORD-2209,2024-07-28,North,Apparel,Trail Jacket,SMB,1,59.32,40.03
ORD-2210,2024-07-28,North,Apparel,Core Tee,Corporate,5,355.14,243.97
ORD-2211,2024-07-28,West,Apparel,Trail Jacket,Corporate,2,156.69,93.82
ORD-2212,2024-07-29,Central,Apparel,Core Tee,SMB,4,358.16,200.59
ORD-2213,2024-07-29,East,Furniture,Oak Desk,Consumer,5,1642.4,959.18
ORD-2214,2024-07-30,Central,Electronics,Pulse Earbuds,Corporate,2,575.44,354.56
ORD-2215,2024-07-30,Central,Apparel,Trail Jacket,Corporate,2,116.91,69.27
ORD-2216,2024-07-30,North,Electronics,Aura Laptop,Consumer,4,1331.17,915.31
ORD-2217,2024-07-31,North,Furniture,Oak Desk,Corporate,5,1776.66,1048.63
ORD-2218,2024-07-31,South,Office,Gel Pens,SMB,3,62.63,39.04
ORD-2219,2024-07-31,West,Furniture,Ergo Chair,SMB,5,1351.43,832.2
ORD-2220,2024-07-31,South,Office,Gel Pens,SMB,2,47.83,30.82
ORD-2221,2024-08-01,Central,Apparel,Trail Jacket,Corporate,3,286.21,182.09
ORD-2222,2024-08-01,North,Office,Notebook Set,SMB,5,104.8,69.96
ORD-2223,2024-08-02,East,Furniture,Oak Desk,Consumer,5,1727.02,1026.36
ORD-2224,2024-08-02,South,Apparel,Core Tee,SMB,4,220.43,122.98
ORD-2225,2024-08-02,Central,Office,Gel Pens,SMB,5,76.78,45.53
ORD-2226,2024-08-03,West,Apparel,Trail Jacket,Consumer,1,72.74,41.52
ORD-2227,2024-08-03,Central,Office,Notebook Set,Corporate,4,99.55,67.67
ORD-2228,2024-08-04,North,Electronics,Aura Laptop,Corporate,2,684.74,391.86
ORD-2229,2024-08-04,South,Electronics,Pulse Earbuds,Consumer,5,1558.34,912.71
ORD-2230,2024-08-04,East,Electronics,Nova Monitor,SMB,3,1347.99,914.19
ORD-2231,2024-08-04,East,Office,Gel Pens,Consumer,3,62.12,37.42
ORD-2232,2024-08-05,North,Apparel,Core Tee,Corporate,3,188.8,107.01
ORD-2233,2024-08-05,Central,Apparel,Core Tee,Corporate,2,104.14,58.02
ORD-2234,2024-08-06,East,Electronics,Aura Laptop,Corporate,4,1209.56,777.16
ORD-2235,2024-08-06,North,Electronics,Pulse Earbuds,Consumer,2,770.4,535.87
ORD-2236,2024-08-06,West,Apparel,Trail Jacket,SMB,4,371.61,212.57
ORD-2237,2024-08-07,South,Furniture,Ergo Chair,Corporate,3,705.13,459.69
ORD-2238,2024-08-07,West,Electronics,Pulse Earbuds,SMB,4,1799.55,1164.3
ORD-2239,2024-08-08,Central,Office,Gel Pens,SMB,4,59.98,34.99
ORD-2240,2024-08-08,South,Furniture,Ergo Chair,SMB,1,330.41,223.56
ORD-2241,2024-08-08,North,Apparel,Core Tee,SMB,4,374.69,254.15
ORD-2242,2024-08-08,East,Electronics,Aura Laptop,SMB,2,1000.44,612.22
ORD-2243,2024-08-09,South,Apparel,Core Tee,Consumer,5,249.1,171.54
ORD-2244,2024-08-09,West,Apparel,Trail Jacket,Corporate,1,65.03,38.47
ORD-2245,2024-08-10,North,Office,Gel Pens,SMB,5,107.04,61.88
ORD-2246,2024-08-10,North,Office,Notebook Set,Corporate,2,48.42,28.28
ORD-2247,2024-08-10,Central,Office,Gel Pens,Consumer,1,15.28,10.59
ORD-2248,2024-08-10,West,Office,Gel Pens,SMB,3,46.59,28.78
ORD-2249,2024-08-11,North,Office,Gel Pens,Corporate,2,29.93,18.46
ORD-2250,2024-08-11,East,Furniture,Oak Desk,Consumer,2,545.15,347.2
ORD-2251,2024-08-11,West,Apparel,Trail Jacket,SMB,1,49.94,34.56
ORD-2252,2024-08-12,West,Office,Gel Pens,SMB,5,89.82,51.74
ORD-2253,2024-08-12,North,Furniture,Oak Desk,SMB,3,866.6,557.84
ORD-2254,2024-08-13,North,Office,Gel Pens,Consumer,5,92.16,60.83
ORD-2255,2024-08-13,East,Electronics,Aura Laptop,SMB,3,862.66,598.78
ORD-2256,2024-08-13,South,Electronics,Aura Laptop,Consumer,5,1360.6,776.85
ORD-2257,2024-08-13,West,Office,Notebook Set,Consumer,4,96.25,66.29
ORD-2258,2024-08-14,South,Apparel,Trail Jacket,SMB,4,260.51,155.36
ORD-2259,2024-08-14,West,Electronics,Aura Laptop,Consumer,4,1541.23,993.43
ORD-2260,2024-08-14,South,Office,Gel Pens,Consumer,2,36.23,21.6
ORD-2261,2024-08-14,East,Furniture,Oak Desk,Consumer,1,296.85,190.3
ORD-2262,2024-08-15,West,Furniture,Oak Desk,Corporate,5,1345.79,849.73
ORD-2263,2024-08-15,South,Electronics,Aura Laptop,Corporate,5,1958.75,1102.87
ORD-2264,2024-08-15,South,Furniture,Oak Desk,Consumer,2,570.5,375.67
ORD-2265,2024-08-15,East,Electronics,Pulse Earbuds,Corporate,5,1996.01,1132.04
ORD-2266,2024-08-15,West,Furniture,Oak Desk,Consumer,2,387.52,220.54
ORD-2267,2024-08-16,North,Office,Notebook Set,SMB,3,57.14,36.68
ORD-2268,2024-08-16,East,Furniture,Oak Desk,SMB,1,287.39,189.78
ORD-2269,2024-08-17,North,Furniture,Ergo Chair,SMB,4,746.59,463.65
ORD-2270,2024-08-17,East,Office,Gel Pens,SMB,5,82.82,46.77
ORD-2271,2024-08-17,South,Furniture,Ergo Chair,Corporate,5,1764.62,981.34
ORD-2272,2024-08-17,West,Electronics,Aura Laptop,Corporate,4,1296.01,767.72
ORD-2273,2024-08-18,East,Electronics,Aura Laptop,Corporate,2,935.16,645.87
ORD-2274,2024-08-18,West,Furniture,Ergo Chair,Corporate,4,1427.23,972.36
ORD-2275,2024-08-18,East,Electronics,Pulse Earbuds,SMB,2,640.89,391.97
ORD-2276,2024-08-19,East,Furniture,Oak Desk,Corporate,5,1327.24,761.69
ORD-2277,2024-08-19,East,Office,Notebook Set,Corporate,4,72.34,49.97
ORD-2278,2024-08-19,West,Apparel,Core Tee,Consumer,1,83.34,48.93
ORD-2279,2024-08-19,Central,Furniture,Ergo Chair,Consumer,4,974.08,639.61
ORD-2280,2024-08-20,East,Furniture,Oak Desk,Consumer,2,629.85,429.74
ORD-2281,2024-08-20,North,Apparel,Core Tee,Consumer,3,155.09,103.78
ORD-2282,2024-08-21,South,Electronics,Nova Monitor,SMB,5,2160.31,1257.35
ORD-2283,2024-08-21,Central,Furniture,Oak Desk,SMB,5,1417.63,931.83
ORD-2284,2024-08-22,North,Furniture,Oak Desk,Corporate,3,756.45,500.98
ORD-2285,2024-08-22,East,Apparel,Trail Jacket,Consumer,4,240.17,135.33
ORD-2286,2024-08-22,Central,Office,Notebook Set,SMB,2,48.11,29.8
ORD-2287,2024-08-22,East,Furniture,Ergo Chair,Corporate,4,998.43,575.72
ORD-2288,2024-08-22,East,Office,Notebook Set,Consumer,4,89.28,51.05
ORD-2289,2024-08-23,East,Furniture,Ergo Chair,Corporate,5,956.96,605.36
ORD-2290,2024-08-23,North,Apparel,Core Tee,SMB,5,325.04,195.4
ORD-2291,2024-08-23,Central,Furniture,Ergo Chair,Corporate,5,1076.16,747.52
ORD-2292,2024-08-23,Central,Apparel,Trail Jacket,Corporate,1,57.52,31.89
ORD-2293,2024-08-24,West,Furniture,Oak Desk,SMB,4,1222.13,849.51
ORD-2294,2024-08-24,West,Office,Notebook Set,Consumer,1,22.73,14.22
ORD-2295,2024-08-24,South,Office,Notebook Set,SMB,5,104.11,70.9
ORD-2296,2024-08-24,South,Apparel,Trail Jacket,Consumer,2,154.49,91.31
ORD-2297,2024-08-25,North,Office,Gel Pens,Corporate,5,68.39,45.17
ORD-2298,2024-08-25,East,Office,Notebook Set,Consumer,5,95.48,58.21
ORD-2299,2024-08-26,East,Office,Notebook Set,SMB,3,44.37,26.14
ORD-2300,2024-08-26,Central,Apparel,Core Tee,Consumer,2,112.79,63.16
ORD-2301,2024-08-26,North,Electronics,Pulse Earbuds,Consumer,3,1035.9,721.72
ORD-2302,2024-08-26,South,Furniture,Ergo Chair,Corporate,2,634.22,355.3
ORD-2303,2024-08-27,South,Apparel,Core Tee,Corporate,2,179.59,107.28
ORD-2304,2024-08-27,South,Apparel,Trail Jacket,Consumer,3,156.1,89.74
ORD-2305,2024-08-27,North,Furniture,Ergo Chair,SMB,3,1068.07,606.77
ORD-2306,2024-08-27,North,Office,Gel Pens,SMB,1,14.32,9.99
ORD-2307,2024-08-27,East,Apparel,Trail Jacket,Corporate,2,169.56,112.16
ORD-2308,2024-08-28,West,Furniture,Oak Desk,Consumer,4,891.92,491.85
ORD-2309,2024-08-28,South,Apparel,Trail Jacket,Consumer,3,284.82,165.45
ORD-2310,2024-08-28,North,Apparel,Trail Jacket,SMB,5,403.01,278.31
ORD-2311,2024-08-28,Central,Furniture,Oak Desk,Consumer,2,490.23,324.12
ORD-2312,2024-08-28,South,Electronics,Nova Monitor,Corporate,3,807.58,474.76
ORD-2313,2024-08-29,South,Electronics,Aura Laptop,Corporate,5,2454.23,1550.28
ORD-2314,2024-08-29,West,Office,Gel Pens,Consumer,1,18.27,11.82
ORD-2315,2024-08-29,North,Furniture,Ergo Chair,SMB,1,213.5,147.95
ORD-2316,2024-08-29,North,Apparel,Core Tee,Consumer,4,219.62,125.33
ORD-2317,2024-08-30,Central,Electronics,Pulse Earbuds,Corporate,5,1558.71,1034.51
ORD-2318,2024-08-30,South,Office,Gel Pens,Consumer,2,49.3,29.72
ORD-2319,2024-08-30,Central,Apparel,Trail Jacket,SMB,5,407.9,244.77
ORD-2320,2024-08-30,North,Electronics,Pulse Earbuds,Corporate,4,1744.78,1195.85
ORD-2321,2024-08-30,West,Apparel,Core Tee,Consumer,5,419.82,246.9
ORD-2322,2024-08-31,North,Apparel,Core Tee,Corporate,3,264.87,145.72
